mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
13/ 0,   +3.53 p,   6.91 s,   64270694 N,  9305086 N/s, d4b6
14/ 0,   +3.63 p,   9.31 s,   78099437 N,  8386002 N/s, d4b6
15/ 0,   +3.85 p,  11.07 s,   93591790 N,  8455151 N/s, d4b6

mike@workstation:~/workspace/assassin$ 



mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         34 N,  2645914 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        129 N,  1224838 N/s, d7d5
 3/ 0,   +0.01 p,   0.00 s,        913 N,  3938723 N/s, d7d5
 4/ 0,   -0.06 p,   0.00 s,       4364 N,  4370801 N/s, d7d5
 5/ 0,   +0.08 p,   0.00 s,      25561 N,  6002781 N/s, d7d5
 6/ 0,   -0.07 p,   0.03 s,     140232 N,  5351808 N/s, d7d5
 7/ 0,   +0.01 p,   0.12 s,     649006 N,  5424723 N/s, d7d5
 8/ 0,   -0.05 p,   0.47 s,    2439588 N,  5137811 N/s, d7d5
 9/ 0,   +0.06 p,   1.63 s,    9111373 N,  5585386 N/s, d7d5
10/ 0,   -0.06 p,   9.34 s,   47219303 N,  5057580 N/s, d7d5
11/ 0,   +0.01 p,  35.03 s,  182526179 N,  5210752 N/s, d7d5

 1/ 0,   +1.08 p,   0.00 s,        104 N,  4379685 N/s, f3b3
 2/ 0,   +0.83 p,   0.00 s,        549 N,  4196863 N/s, f3b3
 3/ 0,   +0.99 p,   0.00 s,       2939 N,  7244179 N/s, f3b3
 4/ 0,   +0.87 p,   0.00 s,      13958 N,  4933954 N/s, f3b3
 5/ 0,   +0.93 p,   0.01 s,      85385 N,  7061682 N/s, f1f2
 6/ 0,   +1.00 p,   0.11 s,     537564 N,  4704257 N/s, f1f2
 7/ 0,   +1.05 p,   0.26 s,    1809239 N,  6890232 N/s, f1f2
 8/ 0,   +1.04 p,   2.94 s,   14344222 N,  4871609 N/s, f3b3
 9/ 0,   +1.04 p,   6.99 s,   47924925 N,  6857729 N/s, f3b3
10/ 0,   +0.99 p,  41.18 s,  191378884 N,  4647809 N/s, b2b3

 1/ 0,   -0.11 p,   0.00 s,         39 N,  3323958 N/s, d4c3
 2/ 0,   -0.15 p,   0.00 s,        163 N,  2888483 N/s, d4c3
 3/ 0,   -0.09 p,   0.00 s,        620 N,  5524172 N/s, d4c3
 4/ 0,   -0.09 p,   0.00 s,       1680 N,  5618955 N/s, d4c3
 5/ 0,   -0.03 p,   0.00 s,       7131 N,  7779346 N/s, d4c3
 6/ 0,   -0.03 p,   0.00 s,      20175 N,  6822835 N/s, d4c3
 7/ 0,   -0.03 p,   0.01 s,      55157 N,  6801962 N/s, d4c3
 8/ 0,   -0.04 p,   0.03 s,     183194 N,  6760403 N/s, d4c3
 9/ 0,   -0.01 p,   0.12 s,     891209 N,  7330559 N/s, d4e3
10/ 0,   -0.06 p,   0.36 s,    2603644 N,  7318417 N/s, d4e3
11/ 0,   -0.02 p,   0.89 s,    7133615 N,  7976169 N/s, d4e3
12/ 0,   +3.43 p,   3.15 s,   25338810 N,  8047212 N/s, d4b6
13/ 0,   +3.53 p,   6.70 s,   64270694 N,  9587302 N/s, d4b6
14/ 0,   +3.63 p,   8.97 s,   78099437 N,  8706435 N/s, d4b6
15/ 0,   +3.85 p,  10.68 s,   93591790 N,  8760566 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        189 N,  5115574 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        619 N,  3669996 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       3826 N,  6568567 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      16234 N,  4926427 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      68250 N,  7349879 N/s, e6d6
 6/ 0,   +0.18 p,   0.08 s,     384428 N,  4886998 N/s, e6d6
 7/ 0,   +0.20 p,   0.18 s,    1257466 N,  7089635 N/s, e6d6
 8/ 0,   +0.14 p,   1.16 s,    5546004 N,  4782561 N/s, d3a6
 9/ 0,   +0.13 p,   2.47 s,   18811994 N,  7611030 N/s, d3a6
10/ 0,   +0.14 p,  17.86 s,   77862350 N,  4358787 N/s, d3a6

mike@workstation:~/workspace/assassin$ 


mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 1/ 0,   +0.02 p,   0.00 s,         34 N,  2781868 N/s, d7d5
 2/ 0,   -0.06 p,   0.00 s,        129 N,  1329800 N/s, d7d5
