mike@workstation:~/workspace/assassin$ bin/gcc-5.4.0/release/assassin
 8/ 0,   -0.04 p,   0.01 s,      59200 N,  8083665 N/s, d4c3
 9/ 0,   -0.03 p,   0.02 s,     173259 N,  7468882 N/s, d4e3
10/ 0,   -0.06 p,   0.07 s,     507467 N,  7797332 N/s, d4c3
11/ 0,   -0.02 p,   0.14 s,    1163168 N,  8280431 N/s, d4e3
12/ 0,   -0.06 p,   0.33 s,    2568695 N,  7874907 N/s, d4e3
13/ 0,   -0.02 p,   0.83 s,    7155730 N,  8646856 N/s, d4e3
14/ 0,   +3.55 p,   2.60 s,   21978135 N,  8449903 N/s, d4b6
15/ 0,   +3.61 p,   5.53 s,   56452284 N, 10215748 N/s, d4b6
16/ 0,   +3.86 p,   7.20 s,   68813442 N,  9558505 N/s, d4b6
17/ 0,   +3.94 p,  11.22 s,  107591516 N,  9587559 N/s, d4b6
18/ 0,   +4.57 p,  17.19 s,  151245745 N,  8797186 N/s, d4b6

 1/ 0,   +0.22 p,   0.00 s,        194 N,  5373068 N/s, e6d6
 2/ 0,   +0.17 p,   0.00 s,        611 N,  4158131 N/s, e6d6
 3/ 0,   +0.19 p,   0.00 s,       4310 N,  7224682 N/s, e6d6
 4/ 0,   +0.18 p,   0.00 s,      15312 N,  5164572 N/s, e6d6
 5/ 0,   +0.20 p,   0.01 s,      70584 N,  8120392 N/s, e6d6
 6/ 0,   +0.18 p,   0.05 s,     295889 N,  5473941 N/s, e6d6
 7/ 0,   +0.20 p,   0.13 s,    1120394 N,  8322256 N/s, e6d6
 8/ 0,   +0.19 p,   0.76 s,    4223967 N,  5587004 N/s, e6d6
 9/ 0,   +0.13 p,   2.05 s,   17204112 N,  8412199 N/s, d3a6
10/ 0,   +0.14 p,   7.68 s,   40551122 N,  5282511 N/s, d3a6
11/ 0,   +0.20 p,  15.34 s,  123321004 N,  8038549 N/s, e6d6
12/ 0,   +0.16 p,  85.99 s,  450060564 N,  5233626 N/s, e6d6

mike@workstation:~/workspace/assassin$ 
